,Number,Name,RA,DEC,Type,V,posunc,centerdist,RA_rate,DEC_rate,geodist,heliodist,alpha,elong,x,y,z,vx,vy,vz,epoch
0,,2020 OH7,135.38169083333335,3.3240424999999996,Mars-Crosser,23.3,0.763,53.14,-22.1184,28.681,2.2167021638,3.10191855157,10.21,146.47,-2.506436589,1.788195809,0.202180882,-0.005466534,-0.005948414,0.001147662,2459640.0
1,388188,2006 DP14,135.39778083333331,3.301403611111111,NEA>Apollo,18.3,0.151,55.575,-42.4122,33.355,0.46734980854,1.41536622014,22.94,146.49,-1.199844169,0.536306095,0.138253387,-0.014498937,-0.00237387,-0.003890778,2459640.0
2,,2020 SD89,135.36326708333334,3.2748244444444445,MB>Outer,21.4,0.107,146.879,-14.0924,15.796,1.81872454268,2.71109892613,11.72,146.45,-2.207672695,1.522615731,0.207533538,-0.007605349,-0.007685002,-0.002900716,2459640.0
3,97176,1999 VV210,135.54894166666665,3.288403611111111,MB>Outer,19.2,0.058,595.315,-19.2068,10.218,2.06724011531,2.95607528227,10.68,146.64,-2.406064075,1.692199285,0.229473351,-0.005264953,-0.007705514,-0.003883396,2459640.0
4,,2020 UC18,135.3222375,3.142037222222222,MB>Outer,22.0,0.155,643.555,-17.3802,12.455,2.12493240702,3.0111769743,10.54,146.4,-2.436381099,1.736742228,0.222595258,-0.005953849,-0.00743915,-0.003239961,2459640.0
5,451368,2010 XA79,135.38587333333334,3.1103630555555557,MB>Outer,21.2,0.048,717.209,-17.9209,12.364,2.1157522647,3.00257056433,10.56,146.46,-2.430171558,1.726198663,0.221071656,-0.00614189,-0.007104435,-0.003259839,2459640.0
6,,2006 HQ157,135.33023791666668,3.5521577777777775,MB>Outer,20.7,0.051,894.91,-14.7608,17.615,1.86711179225,2.75838160872,11.52,146.43,-2.250386995,1.563907173,0.216158515,-0.006319864,-0.00862907,-0.002473937,2459640.0
7,514239,2015 OL88,135.14696958333332,3.2177408333333335,MB>Middle,21.5,0.048,916.075,-21.266,9.831,2.00959305905,2.89674346828,11.02,146.23,-2.355196558,1.657891279,0.224755198,-0.005267908,-0.007145787,-0.00402649,2459640.0
8,481590,2007 TJ169,135.58269083333332,3.499475,MB>Middle,21.2,0.153,986.789,-17.4277,15.832,1.80383928016,2.69802449144,11.7,146.68,-2.202416216,1.501051465,0.213438206,-0.007501632,-0.006885659,-0.002858901,2459640.0
